"label","location","homepage","lat","long","endowment","lat_long"
"Loyola University Maryland",,"http://www.loyola.edu/department/ccsj/about",39.3461,-76.6189,"2.282E8",
"Luther College (Iowa)",,"http://www.luther.edu",43.316,-91.803,"1.688E8",
"Lutheran School of Theology at Chicago",,"http://lstc.edu",41.7957,-87.5991,"2.31E7",
"Lycoming College",,"http://www.lycoming.edu",41.2456,-77.0001,"2.13E8",
"Lynn University",,"http://www.lynn.edu",26.384,-80.125,"2.127E7",
"MCI Management Center Innsbruck",,"http://www.mci.edu/",47.2689,11.3975,"3.0E7",
"MCPHS University",,"https://www.mcphs.edu",42.3369,-71.1014,"8.48E8",
"MGH Institute of Health Professions",,"http://www.mghihp.edu/",42.375,-71.0539,"4.0E7",
"Maastricht University",,"http://www.maastrichtuniversity.nl",50.8458,5.68722,"4.74E8",
"Macalester College",,"http://www.macalester.edu/",44.9392,-93.168,"7.708E8",
"Macdonald Campus",,"https://www.mcgill.ca/macdonald/",45.4075,-73.9383,"9.736E8",
"Macquarie University",,"http://www.mq.edu.au/",-33.7753,151.113,"900.0",
"Macquarie University",,"http://www.mq.edu.au/",-33.7753,151.114,"900.0",
"Macquarie University",,"http://www.mq.edu.au/",-33.7753,151.113,"900.0",
"Macquarie University",,"http://www.mq.edu.au/",-33.7753,151.114,"900.0",
"Maharishi International University",,"https://www.miu.edu",41.018,-91.9688,"9000000.0",
"Ulster University at Coleraine",,"http://www.ulster.ac.uk",55.1478,-6.67222,"6483000.0",
"Ulster University at Coleraine",,"http://www.ulster.ac.uk/campus/coleraine/",55.1478,-6.67222,"6483000.0",
"Union Theological Seminary (New York City)",,"https://utsnyc.edu",40.8114,-73.9642,"1.126E8",
"United States Air Force Academy",,"http://www.usafa.edu/",39.01,-104.89,"4.7E7",
"Universidad Autónoma de Nuevo León",,"http://www.uanl.mx/",25.7272,-100.31,"4.9E8",
"Universidad Juárez Autónoma de Tabasco",,"http://www.ujat.mx",18.0083,-92.925,"4.26E7",
"Universidad Juárez Autónoma de Tabasco",,"http://www.ujat.mx",18.0083,-92.925,"3.96E8",
"Universidad Juárez Autónoma de Tabasco",,"http://www.ujat.mx",18.0083,-92.925,"5.69E8",
"Universidad Juárez Autónoma de Tabasco",,"http://www.ujat.mx",18.0083,-92.925,"5.29E7",
"University College London",,"https://ucl.ac.uk",51.5248,-0.133583,"1.18E8",
"University at Buffalo",,"https://buffalo.edu",43.0,-78.7892,"7.95E8",
"University of Aberdeen",,"http://www.abdn.ac.uk/",57.165,-2.1,"4.86E7",
"University of Adelaide",,"http://www.adelaide.edu.au/",-34.9192,138.604,"2.657E8",
"University of Alberta",,"https://www.ualberta.ca/",53.5244,-113.524,"1.3E9",
"University of Alcalá",,"http://www.uah.es",40.4825,-3.36115,"1.6E8",
"University of Arizona",,"http://www.arizona.edu",32.2317,-110.952,"1.038E9",
"University of Bath",,"http://www.bath.ac.uk/",51.3796,-2.328,"6900000.0",
"University of Birmingham",,"http://www.birmingham.ac.uk/",52.4506,-1.93056,"1.203E8",
"University of Bolton",,"http://www.bolton.ac.uk/",53.5736,-2.43583,"160000.0",
"University of Botswana",,"http://www.ub.bw",-24.6667,25.9333,"3.34E8",
"University of Bradford",,"http://www.bradford.ac.uk/",53.7917,-1.76222,"2.3",
"University of Bridgeport",,"http://www.bridgeport.edu/",41.1659,-73.1911,"3.4133E7",
"University of Bristol",,"http://www.bristol.ac.uk/",51.4564,-2.60444,"72.2",
"University of British Columbia",,"https://ubc.ca/",49.2611,-123.253,"2.182E9",
"University of Caen Normandy",,"http://www.unicaen.fr/home-578581.kjsp%3FRH=1291198060074&RF=UNIV-EN",49.1906,-0.3644,"1.85164267E8",
"University of Calgary",,"https://www.ucalgary.ca/",51.0775,-114.133,"1.2E9",
"University of Cape Town",,"http://www.uct.ac.za",-33.9575,18.4606,"1.18E10",
"University of Central Florida",,"https://www.ucf.edu/",28.6016,-81.2005,"1.647E8",
"University of Chicago Booth School of Business",,"http://www.chicagobooth.edu/",41.7891,-87.5957,"1.034E9",
"University of Colorado",,"https://www.cu.edu/",39.7452,-104.983,"1.452E9",
"University of Curaçao",,"http://www.uoc.cw",12.157,-68.961,"2.0E7",
"University of Deusto",,"http://www.deusto.es",43.2708,-2.9375,"4.8114754E7",
"University of Dublin",,"http://www.tcd.ie/",53.3444,-6.25778,"1.44E8",
"University of Dubuque",,"http://www.dbq.edu",42.4985,-90.6922,"1.605E8",
"University of Dundee",,"https://www.dundee.ac.uk",56.4572,-2.98028,"3.13E7",
"University of Edinburgh",,"https://www.ed.ac.uk",55.9474,-3.18719,"4.599E8",
"University of Edinburgh",,"https://www.ed.ac.uk/",55.9474,-3.18719,"4.599E8",
"Loyola Marymount University",,,33.97,-118.418,"4.718E8",
"Loyola University Chicago",,,41.9999,-87.6578,"6.922E8",
"Loyola University New Orleans",,,29.935,-90.1208,"2.345E8",
"Lubbock Christian University",,,33.5736,-101.934,"2.2E7",
"Luther Seminary",,,44.9847,-93.1964,"1.087E8",
"MIT Sloan School of Management",,,42.3607,-71.0838,"8.12E8",
"Magee College",,,55.006,-7.323,"6483000.0",
"Maine College of Art",,,43.6557,-70.2607,"8100000.0",
"Ulster University",,,54.6036,-5.92861,"1.4365E7",
"Union College",,,42.8172,-73.93,"4.664E8",
"University at Albany, SUNY",,,42.6862,-73.8239,"7.51E7",
"University of Akron",,,41.0752,-81.5115,"2.36E8",
"University of Alabama",,,33.2108,-87.5461,"1.52E9",
"University of Alabama at Birmingham",,,33.5,-86.8075,"537.3",
"University of Alabama in Huntsville",,,34.7272,-86.6398,"7.95E7",
"University of Alaska Anchorage",,,61.1899,-149.827,"5.0159275E7",
"University of Alaska Fairbanks",,,64.8589,-147.836,"1.437E8",
"University of Arkansas",,,36.0687,-94.176,"1.22E9",
"University of Arkansas Honors College",,,36.0677,-94.1715,"2.0E8",
"University of Arkansas at Little Rock",,,34.7225,-92.3407,"8.0E7",
"University of Arkansas at Monticello",,,33.5908,-91.8131,"2.2764898E7",
"University of Arkansas–Fort Smith",,,35.3836,-94.3746,"8.37E7",
"University of Baltimore",,,39.3056,-76.6169,"4.99E7",
"University of Bedfordshire",,,51.8778,-0.411389,"0.52",
"University of Bordeaux",,,44.8172,-0.608465,"7.0E8",
"University of California",,,37.8022,-122.271,"2.11E10",
"University of California, Berkeley",,,37.8719,-122.259,"4.79E9",
"University of California, Davis",,,38.54,-121.75,"1.66E9",
"University of California, Irvine",,,33.6456,-117.842,"1.03E9",
"University of California, Los Angeles",,,34.0694,-118.445,"5.39E9",
"University of California, Merced",,,37.366,-120.424,"5.55E7",
"University of California, Riverside",,,33.9756,-117.331,"2.598E8",
"University of California, San Diego",,,32.8801,-117.234,"1.73E9",
"University of California, San Francisco",,,37.7627,-122.458,"3.89E9",
"University of California, Santa Cruz",,,37.0,-122.06,"2.154E8",
"University of Cambridge",,,52.2053,0.117222,"7.121E9",
"University of Central Arkansas",,,35.077,-92.457,"4.86E7",
"University of Central Missouri",,,38.7591,-93.7374,"4.289E7",
"University of Central Oklahoma",,,35.6583,-97.4719,"3.281E7",
"University of Charleston",,,38.3329,-81.6165,"2.81E7",
"University of Chicago",,,41.7897,-87.5997,"8.5E9",
"University of Cincinnati",,,39.131,-84.516,"1.453E9",
"University of Colombo",,,6.90157,79.8596,"1.461E9",
"University of Colorado Boulder",,,40.0067,-105.267,"1.45E9",
"University of Colorado Colorado Springs",,,38.8922,-104.799,"1.5E9",
"University of Connecticut",,,41.8072,-72.2525,"4.624E8",
"University of Dallas",,,32.8451,-96.9258,"7.6E7",
"University of Dayton",,,39.7404,-84.1792,"6.042E8",
"University of Delaware",,,39.6783,-75.7511,"1.466E9",
"University of Denver",,,39.6783,-104.962,"7.864E8",
"University of Detroit Mercy",,,42.4141,-83.1379,"6.93E7",
"University of East Anglia",,,52.6217,1.24167,"7700000.0",
"A.S. College, Deoghar",,"http://ascollegedeoghar.com/",24.4882,86.6768,,
"A. Gary Anderson Graduate School of Management",,"https://business.ucr.edu/",33.9698,-117.326,,
"A. M. B.Ed. College",,"http://ambedcollegegaya.org",24.7937,84.9821,,
"A. V. C. College",,"http://www.avccollege.net/",11.0978,79.6507,,
"ABSS Institute of Technology",,"http://www.abss.edu.in/",29.0251,77.774,,
"ACPM Medical College",,"http://www.jmfacpm.com",20.8993,74.7241,,
"ACPM Medical College",,"http://www.acpmjmf.com",20.8993,74.7241,,
"AES Bhausaheb Firodiya High School",,"https://web.archive.org/web/20130523151037/http:/aesded.com/",19.0904,74.7339,,
"AES Bhausaheb Firodiya High School",,"https://web.archive.org/web/20130523151037/http://aesded.com/",19.0904,74.7339,,
"AFDA, The School for the Creative Economy",,"http://www.afda.co.za/",-33.9317,18.4683,,
"AMC MET Medical College",,"http://www.metmedical.edu.in",22.9983,72.6044,,
"ANU College of Law",,"http://law.anu.edu.au",-35.281,149.119,,
"ANU Joint Colleges of Science",,"http://science.anu.edu.au/",-35.281,149.119,,
"ANU Joint Colleges of Science",,"http://science.anu.edu.au//",-35.281,149.119,,
"Lovely Professional University",,"http://lpu.in",31.2536,75.7037,,
"Lowell House",,"http://www.lowell.harvard.edu",42.3708,-71.1182,,
"Lowell State College",,"http://www.uml.edu",42.642,-71.3354,,
"Lower Columbia College",,"http://www.lowercolumbia.edu",46.1431,-122.938,,
"Loyalist College",,"http://www.loyalistcollege.com",44.1541,-77.4306,,
"Loyola Academy",,"http://www.goramblers.org",42.0836,-87.7608,,
"Loyola Academy, Secunderabad",,"http://loyolaacademyugpg.ac.in",17.5026,78.4838,,
"Loyola College, Chennai",,"http://loyolacollege.edu",13.062,80.234,,
"Loyola College, Manvi",,"https://www.loyolacollegemanvi.com",16.0053,77.07,,
"Loyola College of Culion",,"http://loyolacollege-culion.simplesite.com",11.8353,119.993,,
"Loyola College of Education, Jamshedpur",,"http://www.loyolacollege.in/",22.7809,86.2678,,
"Loyola College of Social Sciences",,"http://loyolacollegekerala.edu.in/",8.54344,76.9127,,
"Loyola Industrial Training Institute, Bangalore",,"http://www.loyolaitiblr.com",12.8695,77.5926,,
"Loyola Institute of Business Administration",,"http://www.liba.edu/",13.0636,80.2347,,
