"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"Sydowia","0082-0598","Health Sciences","Biomedical Research","Mycology & Parasitology","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Advanced Materials","0935-9648","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Angewandte Chemie International Edition","1433-7851","Natural Sciences","Chemistry","Organic Chemistry","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of Cleaner Production","0959-6526","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Frontiers in Microbiology","1664-302X","Health Sciences","Biomedical Research","Microbiology","manual"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Food Chemistry","0308-8146","Applied Sciences","Agriculture, Fisheries & Forestry","Food Science","auto_issn"
"PloS one","1932-6203","General","General Science & Technology","General Science & Technology","auto_name"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"Astronomy & astrophysics. Supplement series","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"The journal of physical chemistry","1089-5639","Natural Sciences","Chemistry","Physical Chemistry","manual"
"MycoKeys","1314-4057","Health Sciences","Biomedical Research","Mycology & Parasitology","manual"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Communications Chemistry","2399-3669","Natural Sciences","Chemistry","General Chemistry","manual"
"Geoscientific Model Development","1991-959X","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Climate of the Past","1814-9324","Natural Sciences","Earth & Environmental Sciences","Paleontology","auto_issn"
